N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.3452845581345745,-0.6277190756773812",#,#,"-2.8650391915335525,4.352643832706456",#,"-0.8031763977304599,1.34134417934197","-1.56249970132333,1.820520283227085",#,"-3.8250924556854105,3.7642778323111323",#,0,0.017379254564296235,0.1403765101139175,1.0605660180564271,1.0,1,180.0069545842041,4976,3014,0.5,1.089483768434652e-05,182,717
"-1.3452845581345745,-0.6277190756773812",#,#,"-2.8650391915335525,4.352643832706456","-2.6571428822818106,0.27111969345375964","-0.8031763977304599,1.34134417934197","-1.56249970132333,1.820520283227085",#,#,#,0,0.013727980753011607,0.0004790377312778362,0.0059410163606344,1.0,1,186.18374095979863,4926,3042,0.5,1.1360203165325512e-05,112,458
"-1.3452845581345745,-0.6277190756773812","-4.580884452172818,0.6867593060121407","-1.3282086510378885,2.673593986351743",#,#,#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.01311577496617512,102.40001347997334,143.36020489559473,1.651417699162761e-07,3,176.22062208487276,4976,3042,0.4,3.182871442044003e-05,187,737
"-1.0501174214842235,1.2508593330887734",#,"-0.26943359500623276,1.9528862770294617",#,#,#,"-2.2326952932141038,1.9960796874739144",#,"-2.6891514116357977,5.480761452428588",#,1,7.125491815121813e-05,675.4614609989583,346.1516865594871,2.012184226024511e-09,1,148.9236415970119,4998,3052,0.4,0.0005636395267169092,496,889
"-1.0501174214842235,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588","-3.5834747344294526,3.7566104366647504",1,1.7515423846667007e-05,988.3616640830727,41.21472169885409,8.408879747976876e-05,1,145.61788119034367,4985,3069,0.5,0.005476356066047124,693,1018
"-1.0501174214842235,0.1404095828905907","-1.9778183676042185,0.7389942519738115",#,"-3.684052567467709,1.6695437854792083",#,#,#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,1.7515423846667007e-05,988.3616640830727,41.21472169885409,8.408879747976876e-05,1,145.61788119034367,4985,3069,0.5,0.005476356066047124,691,1007
"-1.3452845581345745,-0.6277190756773812","-4.580884452172818,1.033397710927809",#,"-3.3143499019047233,2.8757458811901504",#,#,"-0.8936974264534276,1.3898410631181024",#,"-3.899060077799401,2.931373181397487",#,0,0.004654448996306539,102.40000115792182,143.36002014785086,1.651428340082041e-07,1,175.99590444423444,4976,3072,0.5,1.0592641013761781e-05,153,614
#,"0.11592188891091926,4.164287723084228",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,#,#,#,0,0.00335692216255338,878.3637089417407,204.01525174887774,2.82935096200988e-08,2,106.78507490017621,4986,3077,0.3,1.2872476973112751e-05,248,391
"-0.7697895102747482,0.5462583900132446","0.3440792306523788,5.6566268416007475",#,#,#,#,#,"-2.1407542838823854,1.7344319364713225",#,#,0,0.00045767895227541395,953.2804545026842,127.9763623843219,2.913071820866937e-07,1,99.62831633175328,4982,3077,0.3,0.00017898807787799926,196,310
#,"-1.9018047673395806,-1.7344891354441478","-3.438409043855395,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,"-3.14379163245686,3.240172964044115","-1.668331007981907,4.723732656998995","-3.8250924556854105,4.054180511422353",#,0,0.021990905745743663,1000.0,0.0,1.0,1,153.3906073419776,3423,3108,0.6,9.24528574216568e-06,17,20
"-0.7697895102747482,0.31713582709348553",#,#,#,"-2.534703504947092,3.5373636738785263","-0.8031763977304599,1.34134417934197","-0.39657351934758056,3.114795338961407",#,#,#,0,0.0004069566232861364,729.2390837239659,348.01292751302105,1.95894893817087e-09,1,104.27917559847616,4982,3108,0.4,0.00021069378341662703,178,366
"-0.7697895102747482,0.5462583900132446","0.3440792306523788,3.24734392623713",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,1.7344319364713225",#,#,0,0.009596000256484952,966.4399330365867,80.5879513232968,2.9420457560757395e-06,1,105.01831947674899,4982,3109,0.5,6.329751140237384e-06,115,184
"0.8364239705343662,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,#,#,#,"-2.804617472284662,1.6405851249704564",#,0,0.0012181811611782253,971.4882846706498,84.05498526380413,2.383321431135053e-06,1,119.54258735397443,4952,3119,0.3,8.068875717213388e-05,265,350
"-1.3452845581345745,-0.6277190756773812","-4.580884452172818,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.391113034264677,2.7951834326526495",#,#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.004375877247486285,102.40001347997335,143.36020489559476,1.651417699162759e-07,1,176.22062208487276,4976,3126,0.5,1.0609571473480011e-05,179,708
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743",#,"-1.1466811285651661,2.032575382233453",#,#,#,#,#,1,0.021617506938583816,999.3914266155446,3.6699831308906354,1.0,2,165.19676743600562,4985,3129,0.4,1.9710337309156832e-05,510,686
"-1.5805761328706307,-0.6277190756773812","-2.139148345923748,1.033397710927809",#,"-2.8650391915335525,1.4385271741408472",#,#,#,#,#,#,1,0.014452815169512287,999.8014882349753,1.392014732554848,1.0,1,162.09312289632584,4985,3150,0.3,9.489806477810347e-06,560,745
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.391113034264677,2.7951834326526495",#,#,#,#,#,#,0,0.01613122280603105,102.45961673701859,143.85049859690253,1.6234657931682783e-07,4,176.21378993448658,4976,3152,0.3,4.243622692878365e-05,184,730
"-1.3452845581345745,-0.6277190756773812","-4.580884452172818,0.6867593060121407",#,#,"-2.6571428822818106,0.27111969345375964",#,#,#,#,#,0,0.007767035577386492,160.00093536104788,160.010663115946,9.533565943132585e-08,1,179.56760922066573,4965,3152,0.3,1.0861736949759556e-05,118,475
"0.7057881186119959,2.129301946693614",#,"-2.5470715931935533,0.8004188679082389",#,#,"-3.0141482994392237,2.1327010855346074","-2.688300572407724,-0.28540695572269925",#,#,"-3.70663807051699,2.2859434220066137",1,0.00017081593082996085,23.434146333742614,69.82437163867205,6.025107770443673e-06,1,133.20446588452836,4988,3175,0.5,0.0006411987504703931,34,130
"0.8364239705343662,3.3768179933696594",#,"-2.5470715931935533,0.8004188679082389","-3.3143499019047233,2.8757458811901504",#,#,#,#,#,"-3.70663807051699,2.2859434220066137",1,0.011443960966338623,0.3934672782051761,2.742567445261329,1.0,1,123.7848901607577,4988,3180,0.4,7.4608654332227064e-06,86,361
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.391113034264677,2.7951834326526495",#,#,#,#,#,"-1.0350046089315135,2.4056603150188938",0,0.00472993914375289,128.13468407979371,154.58992090688685,1.1326458161300405e-07,1,176.45064861448293,4976,3189,0.4,1.0635179650826807e-05,161,651
"-1.3452845581345745,-0.6277190756773812","-1.1706991475375224,0.3992495479824156","-1.3282086510378885,2.673593986351743","-2.391113034264677,2.7951834326526495",#,#,#,#,#,#,0,0.004375337905623705,102.40002632807293,143.3603843898646,1.6514073609067234e-07,1,176.22435457517494,4976,3218,0.4,1.0609852683163997e-05,157,621
"0.7057881186119959,2.0174925989979497","-3.875473980142656,2.1638612728379445",#,#,#,#,#,#,"-5.646474167307332,2.3765744228604415",#,1,0.015990182684011287,0.021746552789079242,0.19715568967127492,1.0,1,123.92560130998314,4988,3223,0.3,7.469346492162628e-06,101,442
"0.7057881186119959,2.0174925989979497","-1.6563472195939044,0.7959421676317979","-2.2379479533990274,1.8235331920455187","-3.3143499019047233,2.8757458811901504","0.3491978499794215,2.8591372006099096",#,"-2.688300572407724,3.083994118515716",#,#,#,1,0.026465211642028374,0.0,0.0,1.0,1,137.61659288838456,4951,3223,0.6,8.294541277093017e-06,28,104
#,#,"-0.26943359500623276,1.9528862770294617",#,"-2.2340983916295625,2.0327985044422685",#,#,#,#,#,1,7.074214360191357e-05,675.4600326581492,346.1607829145386,2.011919860719098e-09,1,148.92360678851833,4998,3225,0.2,0.0005677246670326875,511,1001
"-1.5805761328706307,-0.6277190756773812",#,"-0.9008541260575889,2.673593986351743",#,#,#,#,#,#,#,0,0.003764237777194042,102.52136682488842,144.28518658918202,1.5991576239642325e-07,1,176.43955563753565,4976,3234,0.2,1.0626066154021332e-05,156,633
"-1.3452845581345745,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,"-2.391113034264677,2.7951834326526495","-0.8559044707711865,2.4336994204442464",#,#,#,"-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",0,0.00043603099248162175,471.16583974612723,392.0085054475095,1.0802457086791388e-09,1,134.34201470903903,4976,3234,0.6,0.0001484578827565375,262,795
"0.8364239705343662,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,#,#,"-3.691040796165959,2.0509824961050205",#,#,1,0.012263296508240635,0.20711238668045479,1.5827669504330788,1.0,1,129.0435419086097,4951,3255,0.3,7.777819247213675e-06,82,350
"0.7258853651651965,2.129301946693614",#,"-2.5470715931935533,0.8004188679082389","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-2.6076401749827554,0.9675818749218169","-2.804617472284662,3.3016267288522045","-3.70663807051699,2.2859434220066137",1,0.007129069638363518,1.056471258629394,6.459686867328001,1.0,1,123.38829500065873,4988,3255,0.7,7.436961521225668e-06,65,275
#,#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,2.8757458811901504","-1.1466811285651661,2.032575382233453",#,#,"-1.6381447200691852,4.132161658320153",#,#,1,7.740240168433745e-06,774.5232499334272,334.6896878347215,2.3811587074519106e-09,1,153.10525105740984,4988,3260,0.4,0.00616200345816354,667,1294
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809",#,"-3.397406509691031,4.352643832706456",#,"-2.9030375652035745,1.6970309627683529",#,#,#,#,1,0.013557819007579443,999.7521054929983,1.6873990433418975,1.0,1,162.1863575523883,4985,3260,0.4,9.500782095814818e-06,525,697
#,"0.3440792306523788,4.164287723084228","-1.3282086510378885,2.673593986351743","-2.8650391915335525,2.7951834326526495","-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,1.7344319364713225",#,#,0,0.0001373258282829804,985.6507657903869,47.37584783134351,4.190009661813863e-05,1,104.47856583253943,4982,3262,0.5,0.0006255718951487521,136,219
"-0.4182848791570907,0.7965285672625948",#,#,"-2.935693770748367,2.166952753154164",#,#,#,#,"-2.6891514116357977,5.480761452428588",#,1,0.0006014480892645377,188.69522190033666,226.86519429345708,1.66402805000093e-08,1,119.66745110253275,4998,3274,0.3,7.973512940493307e-05,78,320
#,#,#,#,#,#,#,#,"-2.3254479866535696,1.2960367865271802","2.19499086938735,7.126610593716267",1,0.0053517294387476514,245.76,334.50666666666666,2.3876799466412118e-09,1,120.29056,4998,3274,0.2,7.254630489600415e-06,9,21
"0.8364239705343662,2.129301946693614",#,#,"-3.3143499019047233,2.8757458811901504",#,#,#,#,#,#,1,0.014072531471420902,0.07493042505974674,0.6344527479845111,1.0,1,123.9166543585134,4988,3295,0.2,7.468807234092708e-06,99,444
"0.8364239705343662,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,1.8647045082910567",#,#,#,#,#,#,#,0,0.005114259687221936,973.1564517946779,69.79326313995917,6.038547406959011e-06,3,125.53374604740272,4999,3295,0.3,2.2587335695694552e-05,178,229
#,#,"-2.5470715931935533,2.673593986351743","-3.397406509691031,4.352643832706456",#,#,#,#,#,#,1,2.5525344377738747e-06,678.13229110624,363.7876924572913,1.5694951920913342e-09,1,136.6369636016588,4998,3311,0.2,0.00936322731244353,807,1682
"1.1034503496149077,2.0174925989979497",#,#,#,#,"-2.5309021169795485,2.959070560325872",#,#,#,#,0,0.0006398016113439319,997.1176962384691,13.258597303364514,0.02440687061995819,1,127.737621252489,4999,3315,0.2,0.00018609347853438323,303,389
"-0.7697895102747482,0.7965285672625948",#,#,"-2.066026671642698,3.8731192824077887",#,#,#,#,#,#,0,0.00045895783676263473,836.4572876724109,273.0773441430469,6.585240613923224e-09,1,93.1612670714779,4982,3350,0.2,0.00010785382139685816,372,733
"-0.4182848791570907,0.5462583900132446","-0.16747415192637072,5.6566268416007475","-3.385416624081514,0.5994328016376627",#,"-2.6571428822818106,0.27111969345375964","0.594681864269732,3.4254490260053396",#,"-2.1407542838823854,3.601269008388594",#,#,0,0.054532058375586376,1000.0,0.0,1.0,1,125.76039921302241,4773,3350,0.6,7.5799349511737175e-06,20,22
#,"-1.0417995909752158,2.569082408720642","-2.590787679414203,-0.2918360876531392",#,#,"-1.3529648145068074,2.9360763396380523",#,#,#,#,0,0.00014012705522508848,590.5322264189494,433.9169139294057,6.50080448292387e-10,1,109.85578410189224,4986,3355,0.3,0.0005554277186339859,231,488
"0.7258853651651965,2.0174925989979497",#,#,#,#,"-2.5309021169795485,2.959070560325872",#,"-3.348122950635161,-1.1583208730950312",#,"-0.3917149222551941,3.16363883249356",0,0.027364048576782228,1000.0,0.0,1.0,1,132.605303297645,4901,3355,0.4,7.99249667993046e-06,31,35
"-2.7124092246693072,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,1.7515423846667007e-05,988.3616640830727,41.21472169885409,8.408879747976876e-05,1,145.61788119034367,4985,3357,0.4,0.005476356066047124,585,863
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407","-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504","-0.327233865249291,2.4336994204442464",#,#,#,"-3.4655671893539464,4.3406422497282104","-3.70663807051699,2.715936454190438",0,0.0031797788976020997,445.92342143957035,368.6202355367117,1.4692785506716482e-09,1,135.08918971146736,4976,3357,0.7,9.355613124007971e-06,189,560
"0.7057881186119959,2.0174925989979497","-1.6563472195939044,2.1638612728379445",#,"-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-2.9983647670205142,4.04373927067031","-5.646474167307332,2.3765744228604415",#,1,0.016783886423847125,0.035057576941286535,0.30551429119772405,1.0,1,127.46820682889242,4988,3358,0.6,7.682869346407996e-06,83,362
"-0.6277190756773812,1.715994776080973",#,"-3.438409043855395,2.673593986351743",#,#,#,"-3.14379163245686,3.114795338961407",#,"-2.6891514116357977,0.5634358546484348",#,0,0.0013017924424730929,996.1507508796501,18.683571247481236,0.00439238639331656,3,103.84207574344529,4952,3370,0.4,0.0013478444943480674,392,563
"0.7057881186119959,2.129301946693614","1.1370332164085672,2.654650288744507","-2.5470715931935533,2.2040950297793107","0.7522719356344876,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.027179318735930373,0.0,0.0,1.0,1,118.66666666666667,4657,3381,0.6,7.1523756272618985e-06,3,11
"0.8364239705343662,2.790691247420027","-2.139148345923748,2.569082408720642",#,#,#,#,"-2.688300572407724,3.083994118515716",#,#,#,1,0.014071105628560204,0.07543145430798674,0.6397230884167485,1.0,1,123.91659212450635,4988,3384,0.3,7.468803483073086e-06,98,442
"0.7258853651651965,1.9069539936287798","-1.4125802470825723,0.36669494117335744","-2.590787679414203,1.8647045082910567",#,#,#,#,#,"-2.804617472284662,3.3016267288522045",#,1,0.00019722041435345648,2.910305919021009,14.453038739146692,0.015856384422097976,1,130.52492943016833,4885,3384,0.4,0.0005441816009350221,43,189
"-1.0501174214842235,-0.6277190756773812","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,"-1.6381447200691852,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,0.016935416997474962,999.9993103769702,0.008627950867487615,1.0,1,163.08737872024847,4985,3396,0.4,9.606850639101503e-06,470,625
"0.7258853651651965,1.9069539936287798","-1.0417995909752158,2.569082408720642","-3.039725554132545,1.8647045082910567",#,#,#,#,#,#,#,1,0.00021520544522545362,2.5039134154993543,12.375311125711093,0.03445239110062839,1,122.3406704887262,4988,3404,0.3,0.00046743352163671127,48,222
"0.7057881186119959,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,#,#,#,#,#,0,0.0008284582826748332,978.3165308847977,68.6532916676691,6.556818705440081e-06,1,119.13418573935999,4952,3423,0.2,0.00011824097722962573,260,335
#,#,"-2.5470715931935533,2.2040950297793107",#,"0.3491978499794215,2.8591372006099096",#,#,#,"-2.804617472284662,1.6405851249704564",#,0,4.9620481158500436e-05,712.1850865998025,370.68643550206156,1.4287838378432246e-09,1,141.80521652952365,4976,3423,0.3,0.0019819446323830724,272,522
"-0.4453473379823121,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743",#,#,"-0.21411156544762555,4.246491234863028",#,#,#,#,1,0.05512357413637771,160.0,160.0,9.5367431640625e-08,3,124.12778088565275,4998,3426,0.3,2.263119205254657e-05,27,124
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,1.033397710927809","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456","-1.1466811285651661,1.8158580361457548","-0.8031763977304599,1.34134417934197",#,#,#,#,0,0.018006912531251036,9.263367138985301e-07,1.6674060850173523e-05,1.0,1,183.38052577742516,4976,3428,0.6,1.1149006031037817e-05,132,520
#,#,#,"-2.935693770748367,2.166952753154164",#,#,#,#,#,#,1,3.194940759058644e-06,681.73117240105,357.3532017188189,1.7159775920125428e-09,1,137.0432612702832,4998,3435,0.1,0.007585039319480131,734,1507
#,#,"-2.9711470747748656,2.3164415862755803","-3.397406509691031,4.352643832706456",#,"-2.9030375652035745,1.6970309627683529",#,"-1.6381447200691852,4.132161658320153",#,#,1,1.7907124981604963e-07,860.9717735101699,261.68598997281094,8.148874681539012e-09,1,140.98342203544945,4988,3445,0.4,0.16872075830309735,710,1400
#,#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,2.9580617911646193e-06,681.8860147567509,356.8908914327358,1.7271206621409624e-09,1,137.05837884578017,4998,3453,0.4,0.008196813683919146,731,1495
